m_fr_sum,fr_sum,log_fr_sum,serial_num,vp_exp_dummy,num_comp_exp,product_num,log_num_news,num_news,inv_num,cs_dummy,biz_dummy,master_dummy,age
2.8,2800000,6,1,1,13,1,0.4771212547,3,31,1,0,1,25
0,0,0,1,0,5,0,0,0,1,1,0,0,44
0,0,0,1,0,6,0,1.2552725051,18,1,0,0,0,25
0.375,375000,6,2,0,3,1,0.6989700043,5,0,0,0,0,25
0,0,0,1,0,1,1,0.6989700043,5,0,0,0,0,25
0,0,0,1,0,1,1,0.6989700043,5,0,0,0,0,25
534.459999,534459999,9,1,1,3,2,1.8920946027,78,17,0,1,0,30
534.459999,534459999,9,1,0,1,2,1.8920946027,78,3,0,1,0,25
0,0,0,1,0,3,0,0,0,0,0,0,0,25
0,0,0,1,0,5,0,0,0,0,0,0,0,25
0,0,0,1,1,6,0,0.4771212547,3,0,0,1,1,25
2.5,2500000,6,4,0,10,1,0.6020599913,4,0,1,0,0,25
67.192715,67192715,8,2,0,6,1,0.84509804,7,0,1,1,0,25
109.8,109800000,8,5,0,6,3,1.414973348,26,0,1,0,0,25
0,0,0,1,0,2,0,0,0,0,0,0,0,25
109.8,109800000,8,1,0,1,3,1.2304489214,17,0,1,0,0,25
109.8,109800000,8,1,0,1,3,1.2304489214,17,0,1,0,0,25
21,21000000,7,2,1,3,1,1.1139433523,13,1,0,0,0,25
7.35,7350000,7,2,0,2,1,1.079181246,12,0,1,0,0,25
22.3,22300000,7,3,0,3,1,1.1139433523,13,0,0,0,0,25
10.825,10825000,7,6,1,10,12,2.2922560714,196,0,0,0,0,60
101.5,101500000,8,4,1,8,1,1.3010299957,20,1,0,1,0,25
101,101000000,8,3,1,9,1,1.1760912591,15,0,0,0,0,25
22.325,22325000,7,1,1,7,3,1.1461280357,14,2,0,0,0,25
0,0,0,1,1,5,0,0,1,0,0,0,0,25
0,0,0,1,0,4,2,1,10,0,0,0,0,45
0,0,0,1,0,1,1,0.4771212547,3,0,0,0,0,42
0,0,0,3,1,5,1,0.4771212547,3,0,0,0,0,42
5.6,5600000,7,2,0,2,3,1.1461280357,14,0,0,0,0,25
5,5000000,7,1,0,1,1,0.6989700043,5,0,0,0,0,25
5,5000000,7,1,0,1,1,0.6989700043,5,0,0,0,0,25
